,Unnamed: 0,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category
36,36,71693,21.0,1.0,0.0,19.0,42204.0,10.0,5.0,2015.0,0,1,4893.0,951.0,912.0,1.0,8,7173700.5,Basic
37,37,86284,100.0,1.0,0.0,22.0,67132.0,3.0,4.0,1990.0,1,0,7612.0,7741.0,366.0,0.0,3,8632859.0,Basic
38,38,92490,34.0,0.0,0.0,44.0,83288.0,7.0,8.0,2015.0,1,1,5233.0,390.0,797.0,1.0,4,9250743.5,Basic
39,39,87557,10.0,1.0,1.0,41.0,54850.0,3.0,9.0,2015.0,0,1,3463.0,8093.0,722.0,0.0,10,8764296.5,Basic
40,40,5579,97.0,0.0,1.0,93.0,99391.0,10.0,9.0,2010.0,0,1,5773.0,8839.0,368.0,1.0,0,567203.0,Basic
41,41,35791,35.0,1.0,1.0,12.0,80052.0,8.0,5.0,2010.0,0,1,9357.0,4487.0,173.0,1.0,10,3587493.0,Basic
42,42,96455,47.0,0.0,0.0,63.0,4199.0,3.0,1.0,1999.0,0,1,5328.0,2664.0,137.0,0.0,5,9649451.9,Basic
43,43,85985,4.0,1.0,1.0,34.0,91268.0,2.0,1.0,2005.0,0,0,6166.0,5117.0,303.0,1.0,6,8608190.5,Basic
44,44,87022,60.0,1.0,0.0,89.0,92083.0,1.0,6.0,2012.0,0,0,9969.0,5786.0,874.0,0.0,4,8707681.2,Basic
45,45,26009,18.0,1.0,1.0,9.0,78438.0,2.0,6.0,1997.0,1,0,5716.0,7143.0,801.0,1.0,4,2606754.7,Luxury
46,46,61310,49.0,0.0,0.0,21.0,55836.0,5.0,5.0,2006.0,0,1,5865.0,3866.0,618.0,0.0,10,6132679.6,Basic
47,47,69440,90.0,0.0,1.0,76.0,59457.0,7.0,9.0,2004.0,0,0,3678.0,1227.0,520.0,0.0,2,6950509.4,Basic
48,48,56917,24.0,0.0,0.0,30.0,59691.0,8.0,8.0,1997.0,1,1,655.0,6360.0,173.0,1.0,8,5694889.7,Basic
49,49,89724,41.0,1.0,1.0,79.0,33629.0,3.0,4.0,2009.0,0,0,4737.0,4438.0,734.0,0.0,0,8985657.9,Basic
50,50,91109,59.0,0.0,0.0,46.0,80573.0,7.0,7.0,2005.0,1,1,1221.0,6533.0,930.0,0.0,5,9113552.5,Basic
51,51,42674,36.0,0.0,1.0,5.0,9068.0,3.0,3.0,2014.0,1,1,4636.0,286.0,177.0,0.0,7,4269275.4,Basic
52,52,23885,12.0,1.0,0.0,23.0,13607.0,4.0,3.0,2002.0,0,0,5011.0,5394.0,369.0,0.0,10,2392010.2,Basic
53,53,68681,57.0,0.0,1.0,15.0,54007.0,5.0,3.0,2008.0,0,0,906.0,8572.0,690.0,1.0,7,6870787.8,Basic
54,54,88780,51.0,1.0,1.0,89.0,803.0,7.0,1.0,2016.0,0,0,4778.0,6238.0,275.0,0.0,0,8887352.6,Basic
55,55,48627,54.0,1.0,1.0,87.0,73386.0,8.0,2.0,2000.0,0,0,9952.0,788.0,607.0,1.0,10,4871835.0,Basic
56,56,81793,10.0,0.0,0.0,73.0,95922.0,2.0,10.0,2018.0,0,0,7377.0,6263.0,472.0,1.0,4,8184784.8,Basic
57,57,36187,7.0,0.0,0.0,66.0,60158.0,5.0,3.0,2000.0,1,0,7004.0,7951.0,161.0,1.0,0,3624960.0,Basic
58,58,23682,31.0,1.0,0.0,97.0,61955.0,3.0,10.0,2007.0,1,1,4705.0,9969.0,115.0,0.0,4,2381051.7,Basic
59,59,5798,38.0,0.0,1.0,15.0,80266.0,8.0,3.0,2010.0,1,1,9805.0,6107.0,292.0,1.0,1,586009.0,Basic
60,60,34176,97.0,0.0,1.0,17.0,28284.0,1.0,1.0,1999.0,0,0,3018.0,8401.0,967.0,1.0,3,3421425.9,Basic
61,61,45234,26.0,0.0,1.0,21.0,72811.0,6.0,10.0,1997.0,1,1,3683.0,4667.0,770.0,0.0,9,4530621.7,Basic
62,62,14447,69.0,1.0,0.0,94.0,42206.0,3.0,9.0,1991.0,1,1,7976.0,8465.0,850.0,0.0,4,1458693.1,Basic
63,63,44967,50.0,1.0,1.0,77.0,32613.0,7.0,10.0,2002.0,1,0,19.0,5029.0,373.0,1.0,1,4505471.2,Luxury
64,64,16839,44.0,1.0,0.0,75.0,46594.0,6.0,5.0,1997.0,0,1,7765.0,4838.0,955.0,1.0,0,1692521.7,Basic
65,65,47647,47.0,1.0,0.0,66.0,20509.0,8.0,5.0,2014.0,0,0,7836.0,1498.0,883.0,0.0,8,4776741.4,Basic
66,66,62615,23.0,1.0,1.0,32.0,61860.0,2.0,3.0,2003.0,1,0,9747.0,4217.0,423.0,1.0,7,6271258.3,Luxury
67,67,76647,24.0,1.0,1.0,51.0,46056.0,2.0,2.0,1993.0,1,0,9871.0,7235.0,919.0,0.0,8,7670985.3,Luxury
68,68,95702,29.0,1.0,0.0,47.0,23961.0,3.0,3.0,2013.0,1,1,9333.0,2189.0,896.0,0.0,4,9577615.3,Basic
69,69,19931,71.0,0.0,1.0,58.0,81797.0,3.0,7.0,2004.0,1,0,8527.0,2766.0,742.0,1.0,8,1998436.4,Basic
70,70,69943,57.0,0.0,1.0,56.0,95518.0,4.0,5.0,2003.0,1,0,2072.0,4206.0,854.0,1.0,3,7003755.3,Basic
71,71,3261,6.0,0.0,1.0,32.0,45457.0,1.0,9.0,2010.0,1,1,3937.0,4002.0,969.0,0.0,4,330590.0,Basic
72,72,54016,26.0,0.0,1.0,50.0,89320.0,10.0,5.0,2000.0,1,0,2496.0,7497.0,130.0,1.0,1,5407699.0,Basic
73,73,28076,4.0,1.0,1.0,86.0,90966.0,3.0,1.0,2014.0,0,1,6596.0,8735.0,110.0,0.0,4,2819687.4,Basic
74,74,48577,76.0,1.0,0.0,20.0,96540.0,10.0,7.0,2017.0,0,0,2025.0,2478.0,681.0,1.0,0,4862984.7,Basic
75,75,8130,44.0,1.0,1.0,88.0,30282.0,6.0,7.0,2014.0,1,1,7573.0,8826.0,978.0,1.0,5,823637.4,Luxury
76,76,34511,7.0,0.0,1.0,24.0,90063.0,9.0,8.0,2006.0,0,0,7688.0,3057.0,822.0,1.0,3,3453372.6,Basic
77,77,25079,10.0,1.0,0.0,99.0,62568.0,1.0,6.0,2018.0,1,1,727.0,1060.0,841.0,1.0,0,2515722.8,Basic
78,78,87603,70.0,1.0,1.0,62.0,93659.0,9.0,8.0,2020.0,0,0,9232.0,6968.0,755.0,0.0,10,8768975.0,Basic
79,79,13138,3.0,1.0,0.0,25.0,78252.0,1.0,3.0,2009.0,1,1,3239.0,4333.0,423.0,1.0,8,1319407.9,Basic
80,80,90360,65.0,1.0,0.0,4.0,11790.0,6.0,10.0,2003.0,0,1,4727.0,5639.0,727.0,0.0,4,9039117.3,Basic
81,81,10540,64.0,1.0,1.0,2.0,50820.0,5.0,1.0,1998.0,0,0,2045.0,7509.0,952.0,0.0,5,1059468.8,Basic
82,82,13112,74.0,1.0,1.0,26.0,47159.0,8.0,9.0,1993.0,1,1,1633.0,1105.0,362.0,1.0,9,1318665.3,Luxury
83,83,28760,63.0,1.0,0.0,3.0,88425.0,7.0,5.0,2013.0,0,1,8705.0,7836.0,681.0,1.0,7,2878626.3,Basic
84,84,50846,44.0,1.0,1.0,79.0,19333.0,10.0,1.0,2001.0,0,1,2903.0,6723.0,660.0,1.0,0,5091984.1,Basic
85,85,21573,46.0,1.0,1.0,71.0,29426.0,9.0,9.0,1991.0,0,0,6957.0,1506.0,429.0,1.0,1,2167154.1,Basic
86,86,59302,85.0,1.0,1.0,31.0,10324.0,4.0,5.0,2007.0,1,0,4968.0,6928.0,826.0,1.0,7,5940173.7,Luxury
87,87,68916,19.0,0.0,0.0,13.0,90143.0,4.0,3.0,2013.0,1,0,6851.0,8618.0,487.0,1.0,7,6893475.3,Basic
88,88,93734,17.0,1.0,1.0,62.0,29088.0,5.0,4.0,1999.0,0,1,2504.0,3891.0,325.0,0.0,2,9385146.9,Basic
89,89,29480,66.0,1.0,1.0,77.0,60901.0,6.0,1.0,2018.0,0,1,4555.0,7640.0,574.0,1.0,6,2958907.8,Basic
90,90,63237,8.0,1.0,0.0,49.0,23635.0,3.0,9.0,2009.0,1,1,6344.0,7812.0,197.0,0.0,5,6330589.9,Basic
91,91,16335,35.0,0.0,0.0,76.0,14675.0,10.0,6.0,2005.0,1,1,6086.0,787.0,385.0,1.0,2,1635816.5,Basic
92,92,50077,66.0,0.0,0.0,72.0,45791.0,5.0,10.0,2016.0,1,1,914.0,514.0,222.0,1.0,7,5009343.6,Basic
93,93,85421,62.0,0.0,0.0,23.0,93585.0,9.0,3.0,2006.0,1,0,1226.0,9662.0,206.0,1.0,5,8543272.6,Basic
94,94,39073,91.0,0.0,0.0,17.0,63033.0,9.0,3.0,1992.0,1,1,6671.0,8093.0,962.0,1.0,8,3909080.2,Basic
95,95,41751,80.0,1.0,1.0,13.0,78126.0,1.0,2.0,1998.0,1,0,6917.0,5314.0,343.0,1.0,1,4186067.8,Luxury
96,96,87060,27.0,0.0,1.0,91.0,51803.0,8.0,10.0,2000.0,0,0,6629.0,435.0,512.0,0.0,7,8711426.0,Basic
97,97,29512,96.0,0.0,1.0,26.0,49748.0,2.0,8.0,2012.0,1,1,6556.0,9398.0,170.0,0.0,9,2955396.2,Basic
98,98,32599,68.0,0.0,0.0,67.0,20244.0,5.0,6.0,2003.0,0,0,4964.0,4624.0,902.0,0.0,1,3265978.3,Basic
99,99,11130,77.0,1.0,1.0,98.0,56168.0,8.0,2.0,2021.0,1,1,353.0,3205.0,939.0,0.0,5,1123958.1,Luxury
100,100,98827,89.0,0.0,0.0,73.0,31922.0,4.0,4.0,2014.0,0,1,647.0,1865.0,514.0,1.0,2,9886586.4,Basic
101,101,21122,99.0,0.0,0.0,26.0,46816.0,7.0,2.0,2016.0,0,0,4815.0,3679.0,779.0,1.0,6,2113297.6,Basic
102,102,43691,19.0,1.0,1.0,39.0,96161.0,4.0,1.0,1993.0,1,0,834.0,9044.0,222.0,0.0,2,4375504.3,Luxury
103,103,11933,49.0,1.0,1.0,21.0,67684.0,9.0,3.0,2005.0,0,1,8801.0,7229.0,140.0,0.0,6,1201065.5,Basic
104,104,57182,90.0,1.0,1.0,100.0,51928.0,1.0,1.0,1992.0,1,0,5306.0,7222.0,492.0,1.0,0,5728972.2,Luxury
105,105,25996,3.0,1.0,1.0,18.0,9008.0,1.0,4.0,2014.0,0,0,8070.0,9854.0,685.0,0.0,4,2607460.4,Basic
106,106,71603,39.0,1.0,1.0,7.0,80016.0,1.0,1.0,2010.0,1,0,1864.0,7586.0,402.0,0.0,7,7169029.0,Luxury
107,107,63977,36.0,1.0,1.0,50.0,396.0,4.0,10.0,1995.0,1,1,8802.0,7007.0,249.0,0.0,10,6407296.5,Luxury
108,108,74857,19.0,0.0,1.0,55.0,32561.0,9.0,5.0,2011.0,1,0,5220.0,5054.0,326.0,1.0,5,7495795.1,Basic
109,109,55059,51.0,0.0,1.0,32.0,34208.0,1.0,6.0,1998.0,1,0,9156.0,8951.0,458.0,0.0,6,5512765.8,Basic
110,110,37471,58.0,0.0,0.0,12.0,44690.0,1.0,3.0,2004.0,0,0,6521.0,9134.0,677.0,0.0,6,3747950.4,Basic
111,111,66878,22.0,0.0,0.0,41.0,3743.0,9.0,5.0,2016.0,1,1,1400.0,8825.0,763.0,0.0,2,6692131.6,Basic
112,112,13027,58.0,0.0,1.0,2.0,39083.0,1.0,7.0,2011.0,0,1,8344.0,8116.0,341.0,0.0,10,1306637.1,Basic
113,113,97857,20.0,0.0,1.0,61.0,85973.0,10.0,8.0,2007.0,1,1,4407.0,2771.0,684.0,1.0,8,9790445.7,Basic
114,114,51528,47.0,0.0,0.0,11.0,52216.0,2.0,2.0,1999.0,0,0,1149.0,2787.0,861.0,1.0,4,5153572.9,Basic
115,115,4348,54.0,0.0,0.0,5.0,36693.0,5.0,8.0,2018.0,0,0,3421.0,3905.0,496.0,0.0,1,435301.8,Basic
116,116,94196,62.0,1.0,1.0,25.0,25206.0,4.0,2.0,1996.0,0,1,8589.0,5683.0,968.0,1.0,5,9427245.6,Basic
117,117,91478,41.0,1.0,1.0,75.0,73172.0,3.0,3.0,2003.0,0,0,1740.0,219.0,819.0,0.0,8,9157875.3,Basic
118,118,76454,17.0,0.0,0.0,88.0,31987.0,1.0,1.0,1990.0,0,1,8381.0,1535.0,959.0,1.0,1,7647961.0,Basic
119,119,88367,5.0,0.0,0.0,7.0,36833.0,9.0,1.0,2018.0,0,0,8489.0,8246.0,430.0,0.0,7,8837449.8,Basic
120,120,67462,52.0,1.0,0.0,98.0,68411.0,2.0,3.0,2008.0,1,1,5585.0,2304.0,655.0,0.0,2,6754742.8,Basic
121,121,14366,15.0,1.0,1.0,15.0,16730.0,6.0,9.0,2009.0,1,1,5596.0,6777.0,230.0,1.0,9,1442920.9,Luxury
122,122,14639,94.0,1.0,0.0,99.0,45011.0,7.0,8.0,2021.0,0,0,4267.0,9266.0,423.0,1.0,2,1467522.1,Basic
123,123,24309,23.0,0.0,1.0,28.0,26404.0,6.0,1.0,2013.0,0,0,2055.0,8197.0,173.0,0.0,9,2434268.3,Basic
124,124,16388,82.0,1.0,1.0,53.0,59625.0,2.0,7.0,1998.0,1,1,5513.0,3975.0,813.0,1.0,5,1647875.8,Luxury
125,125,46883,49.0,0.0,0.0,53.0,80204.0,8.0,2.0,2009.0,1,1,9286.0,4266.0,845.0,1.0,3,4691844.9,Basic
126,126,62027,21.0,1.0,1.0,62.0,51479.0,6.0,10.0,2013.0,1,0,6654.0,9100.0,314.0,1.0,10,6211934.3,Luxury
127,127,61057,65.0,1.0,0.0,77.0,17051.0,9.0,8.0,1998.0,1,0,9762.0,545.0,369.0,1.0,6,6114671.8,Basic
128,128,91275,17.0,0.0,1.0,21.0,86999.0,7.0,6.0,1999.0,1,1,5497.0,2263.0,224.0,0.0,8,9133455.9,Basic
129,129,19183,18.0,0.0,0.0,41.0,64943.0,2.0,10.0,2004.0,1,0,7151.0,5616.0,470.0,1.0,3,1919702.4,Basic
130,130,65653,74.0,1.0,0.0,86.0,84990.0,7.0,1.0,2002.0,0,0,2341.0,1149.0,439.0,1.0,4,6571168.2,Basic
131,131,65294,60.0,1.0,0.0,94.0,66766.0,5.0,9.0,2008.0,1,1,810.0,9713.0,717.0,0.0,6,6542693.8,Basic
132,132,47794,35.0,0.0,1.0,78.0,94512.0,4.0,2.0,2014.0,1,0,7795.0,3910.0,957.0,1.0,7,4784670.4,Basic
133,133,57203,49.0,0.0,0.0,18.0,65188.0,10.0,3.0,1993.0,0,0,7727.0,6456.0,297.0,1.0,4,5722619.3,Basic
134,134,34867,42.0,0.0,1.0,69.0,75690.0,5.0,5.0,1991.0,0,0,6839.0,4868.0,809.0,1.0,1,3491110.1,Basic
135,135,31869,19.0,1.0,0.0,51.0,54028.0,2.0,6.0,2012.0,0,0,1412.0,5277.0,333.0,1.0,1,3191873.2,Basic
136,136,9115,24.0,0.0,1.0,8.0,65398.0,1.0,6.0,1997.0,1,1,7187.0,2578.0,472.0,1.0,10,914381.7,Basic
137,137,90265,45.0,0.0,0.0,4.0,99372.0,3.0,1.0,1990.0,0,0,7773.0,6002.0,827.0,1.0,6,9026973.0,Basic
138,138,83009,70.0,0.0,1.0,26.0,10894.0,5.0,1.0,2009.0,0,1,4251.0,1402.0,802.0,1.0,5,8305627.9,Basic
139,139,94409,26.0,0.0,1.0,75.0,43994.0,1.0,7.0,2015.0,1,0,6193.0,3936.0,845.0,0.0,1,9450280.5,Basic
140,140,11826,33.0,1.0,0.0,17.0,43510.0,2.0,9.0,1991.0,0,1,9373.0,1366.0,662.0,0.0,4,1186605.1,Basic
141,141,28350,56.0,0.0,1.0,82.0,4553.0,3.0,2.0,1999.0,0,1,8713.0,3892.0,692.0,1.0,9,2838367.9,Basic
142,142,61647,46.0,1.0,0.0,43.0,64030.0,1.0,10.0,2019.0,1,0,1313.0,5453.0,803.0,0.0,10,6172515.9,Basic
143,143,60680,49.0,0.0,0.0,80.0,9006.0,10.0,6.0,2012.0,1,1,8520.0,4697.0,855.0,1.0,4,6075501.2,Basic
144,144,26216,36.0,1.0,1.0,41.0,22419.0,7.0,9.0,2011.0,0,0,2876.0,1933.0,668.0,1.0,0,2628209.1,Basic
145,145,52948,91.0,1.0,1.0,10.0,3750.0,8.0,9.0,1994.0,1,0,190.0,1341.0,114.0,1.0,6,5301685.4,Luxury
146,146,67271,60.0,1.0,1.0,79.0,50779.0,5.0,7.0,2021.0,1,1,8845.0,5808.0,948.0,1.0,4,6737040.1,Luxury
147,147,51212,83.0,0.0,1.0,81.0,43156.0,9.0,2.0,1997.0,1,1,783.0,465.0,932.0,1.0,5,5129933.7,Basic
148,148,68609,67.0,1.0,0.0,74.0,84408.0,8.0,4.0,2000.0,0,0,8794.0,6696.0,912.0,1.0,6,6870074.0,Basic
149,149,15246,59.0,0.0,1.0,48.0,91241.0,7.0,7.0,2020.0,1,0,460.0,7469.0,596.0,1.0,1,1531089.0,Basic
150,150,86887,16.0,1.0,1.0,37.0,83915.0,9.0,4.0,2014.0,0,1,2944.0,1943.0,642.0,1.0,3,8696709.4,Basic
151,151,97593,62.0,0.0,0.0,24.0,65628.0,5.0,5.0,1995.0,1,1,5893.0,7623.0,871.0,0.0,9,9760509.5,Basic
152,152,51777,6.0,1.0,1.0,38.0,66850.0,7.0,1.0,2007.0,1,0,6619.0,7721.0,105.0,0.0,8,5186005.7,Luxury
153,153,96877,77.0,1.0,0.0,94.0,77155.0,2.0,1.0,1992.0,0,0,9944.0,5824.0,481.0,1.0,2,9692657.2,Basic
154,154,43944,40.0,1.0,0.0,69.0,5581.0,10.0,5.0,2012.0,0,1,7466.0,6556.0,735.0,1.0,6,4403326.2,Basic
155,155,24270,73.0,0.0,1.0,96.0,43678.0,1.0,9.0,2005.0,0,0,9110.0,973.0,987.0,0.0,0,2436202.5,Basic
156,156,67527,41.0,1.0,1.0,42.0,26117.0,10.0,8.0,2009.0,1,1,6765.0,874.0,772.0,1.0,4,6766655.9,Luxury
157,157,54366,73.0,0.0,1.0,92.0,73599.0,1.0,3.0,2005.0,0,1,5120.0,2566.0,393.0,0.0,10,5443046.5,Basic
158,158,75556,53.0,0.0,1.0,38.0,58206.0,2.0,5.0,1999.0,1,0,7875.0,5529.0,964.0,1.0,6,7560024.9,Basic
159,159,37717,79.0,1.0,1.0,34.0,94775.0,5.0,3.0,1998.0,0,1,1872.0,7805.0,620.0,0.0,7,3779961.8,Basic
160,160,6578,34.0,0.0,1.0,27.0,2875.0,4.0,4.0,2008.0,0,0,7746.0,6634.0,346.0,0.0,6,662084.8,Basic
161,161,72938,90.0,0.0,1.0,64.0,28816.0,3.0,6.0,2007.0,1,0,242.0,1625.0,929.0,0.0,3,7301218.7,Basic
162,162,23212,2.0,1.0,0.0,90.0,98531.0,8.0,2.0,2015.0,1,0,5228.0,2040.0,796.0,0.0,8,2327333.5,Basic
163,163,6396,71.0,0.0,0.0,40.0,28917.0,6.0,6.0,2005.0,1,0,413.0,3302.0,682.0,0.0,9,643620.5,Basic
164,164,27204,73.0,1.0,0.0,2.0,94102.0,10.0,10.0,1997.0,0,1,5833.0,6135.0,574.0,0.0,1,2726114.7,Basic
165,165,86405,77.0,1.0,0.0,75.0,37696.0,3.0,3.0,2015.0,0,0,5268.0,7017.0,302.0,1.0,10,8643680.5,Basic
166,166,13696,8.0,0.0,0.0,40.0,16192.0,7.0,8.0,2003.0,1,1,905.0,5498.0,398.0,0.0,10,1371950.3,Basic
167,167,61911,51.0,0.0,0.0,89.0,54830.0,4.0,3.0,2000.0,1,1,8178.0,1534.0,410.0,0.0,10,6200711.0,Basic
168,168,50418,69.0,0.0,0.0,81.0,22746.0,5.0,4.0,2005.0,1,1,5888.0,6516.0,801.0,0.0,3,5049859.5,Basic
169,169,84004,89.0,1.0,1.0,32.0,84934.0,9.0,1.0,2004.0,0,1,9296.0,4463.0,352.0,0.0,2,8409632.4,Basic
170,170,69375,6.0,1.0,1.0,96.0,30297.0,4.0,3.0,2003.0,0,0,9878.0,7270.0,954.0,0.0,10,6952253.3,Basic
171,171,49116,98.0,1.0,1.0,41.0,70412.0,6.0,9.0,2013.0,1,0,5646.0,4458.0,953.0,0.0,3,4923159.3,Luxury
172,172,69940,26.0,1.0,1.0,75.0,89678.0,6.0,3.0,2006.0,1,1,6442.0,3988.0,786.0,0.0,5,7005549.6,Luxury
173,173,55660,9.0,1.0,1.0,26.0,84510.0,1.0,5.0,2021.0,1,1,5395.0,5590.0,335.0,0.0,1,5576601.1,Luxury
174,174,89561,54.0,1.0,1.0,92.0,87853.0,8.0,1.0,1993.0,0,0,1171.0,1845.0,982.0,0.0,4,8968239.3,Basic
175,175,90045,95.0,0.0,0.0,77.0,6252.0,2.0,3.0,2008.0,1,0,8151.0,3345.0,501.0,0.0,6,9009466.8,Basic
176,176,13374,74.0,1.0,0.0,34.0,49372.0,6.0,9.0,2005.0,1,1,5906.0,9308.0,346.0,1.0,0,1342193.5,Basic
177,177,97428,2.0,1.0,0.0,76.0,7983.0,9.0,7.0,2009.0,1,1,2064.0,8068.0,832.0,0.0,3,9750656.9,Basic
178,178,33512,28.0,1.0,0.0,46.0,96775.0,4.0,8.0,2007.0,1,0,1795.0,7799.0,587.0,0.0,8,3355634.7,Basic
179,179,75461,16.0,1.0,1.0,77.0,84536.0,4.0,3.0,1991.0,1,1,9854.0,759.0,508.0,0.0,8,7556204.1,Luxury
180,180,74069,53.0,1.0,1.0,91.0,30191.0,5.0,7.0,1993.0,0,0,4836.0,9018.0,268.0,1.0,3,7417780.3,Basic
181,181,84431,72.0,0.0,0.0,35.0,91450.0,4.0,6.0,1996.0,1,0,3882.0,2460.0,727.0,0.0,5,8445624.6,Basic
182,182,42708,68.0,1.0,0.0,66.0,61879.0,10.0,8.0,1992.0,0,0,7822.0,9456.0,214.0,1.0,9,4277753.2,Basic
183,183,533,84.0,1.0,0.0,81.0,63492.0,7.0,5.0,1994.0,0,1,2566.0,133.0,613.0,1.0,6,62166.4,Basic
